IDHASH,MIN_CALIF_ADMIS,MAX_CALIF_ADMIS,PROM_CALIF_ADMIS,CANT_ADMIS
00EAD6DA1C9D7B54C4B416CB059F3040B22404BD1A39636258B4A599F778E390D04E9DB4F108FE01DF0714930358F03D71D9FF6500D76E2FEDB0C4B23BE12864,4.13,4.13,4.13,1
00EC5AC98950654D644879FE893D17B044E59477D9D8CD79AA7FF9BFF098B7524F2A8E6D7C0D227D59BB85BE1076A5BB7503675E774B6D4B5DBB8AB28AAF1919,7.663,10.876,9.2695,2
00F43950334B84082065C492A15A5A4280ADBB7510F01A7D398F2EF1A6D4A3E19964C53A76CA1D0C96FD8248A63E8F6A68CD6D09E21097C18985C9E05809745A,0.0,0.0,0.0,1
00FB001162ED5C81A8859EA41F41332692F2913C6CD049C5238383B0568066E21E728008A977E4527638800C88A049BA0C43219CE19590FEE12721B326DE3BFE,7.933,7.933,7.933,1
00FD13566D271201DF9262F9D0B47FE33EB646152D12063F605B2456E30B0DF1B712391E423390657766CF4CE850BCCBE2EB481AD7C1CCCBF480E5411B60F2E3,8.843,8.843,8.843,1
00FF0EF4F85BAA36765539356A433915FDF2F09226B823FACF5FA9BCAB807017B46F9CA329CE68272E4EC22A07C1101F0672EF903F9F394CC605861CD03E92AF,6.03,6.03,6.03,1
0102693F5054E7B798225D5D64DD5200062DD52F9CF746A733D64373E833BC1AF6F5EEC9650229ACA43978D5E869EAA9FE9D7028A276C5FFF631BC45DE6ED72C,8.68,8.68,8.68,1
010455FE218BFE1DB9C87BA8D44A4BA9A197DF717CC9574FC1D69494FF119979B62AD50A8DA9433A02909568B691BFE25BF3C9A6F5535FEDAF7B65D44AB612A8,6.926,6.926,6.926,1
010D98033865CE7ABEBA4FF95576EC30A7973FAB3452A81A0BABD1A9306336D8E8A7FBAF3E0FE7EF98BE04CE93E9A06699DCE3DA3C7966C721628A31B117A2AB,4.41,4.41,4.41,1
010F0938237700E07EDA50D1992CB2A57A8A31A6982ACA415A1B50CB10C82CE97F1F61EB8DE666A062D3A337D12B673B5AA1276FBD904259CC013293FEC34DD8,7.854,12.431,10.620666666666667,3
0110E63B9F7082E8E04FEBCBE1D77E7DEA793635060A7353DFCE912BD1750E3A8B0D8D83646A8ECB9052276ED2D3D8FA15010CC8E0399B11D078B6A3E620AC4B,9.658,11.78,10.786,3
0114840E77697A4B601138669F2F44DDC010E53BDDE1D63DF63A8F4E7CE4A85FD3A73F8C0F0E41E94439E343FBA1EA456054E7569A7CCCFFF20B9AD7D2F82597,6.21,6.21,6.21,1
012120A24465B2D3D707507ECD177C3D72A2A1CB0B0857427F1BC99DCA136ED8019D9A87A70E531636903F0C0C938ACDC396C94C868EDB7B96CF42E7F975E11D,7.349,7.96,7.6545000000000005,2
0121A2E150801DD6368482B1B5E0F2DA9EEBF642111EF5D21802EB5DEA2CDF3CF0EA330869E585BC10289089E79501539CCD78DEE4434D7549BF76EAE88F2467,2.62,2.62,2.62,1
01241A03D8B93A0495FB4F7A22BBFE5758D189CFC7640B7E94B2F43FB4886B7E7E1DFEC617C3A0BE1D99FFAAB9209A786EDCE088A6688AB6D6B183FD5E389591,14.463,14.463,14.463,1
012C8CD5EE0B0CCAA9342294B84B258F843B29635272258A8BE0D9CABD0DB31F66B82875829CB5E0BC92485A905BD2EF5C09F65BE259226CB097D57CBDBB0049,5.394,5.394,5.394,1
012C9AB10725C030AC3B4FBFEA868FB5AFB3B99CE6D78F32CE4FE2F72F493AE3D1CBB1E27CCAAA1FB72B39DC87C7F67E9E639521397AB51AA4E24F56216B97C7,11.944,11.944,11.944,1
012EC0DC26B3BCCD1FB5A1BF15D1F5707D8714EB46FE7BE28BBB572D20E227204A9A0A98926D87749EFF2F3F5E3E3ADBC262DAC4ABD23FC6038B7943FCFA1DFD,7.77,11.731,9.750499999999999,2
012FB6DF3B532E7E177163E8CC447D1AB501CE61C05B65D70243404F286584635B76B922314C57BECD4A1FC3217B70656C93D76CA4D4A4F59C3682C01D626F00,5.573,5.573,5.573,1
012FE372836719407B51FEC04C41FB66CEB9C39924F9775469B2B8CA6D5D0384C5665C442330C0C419B0B6287111C6AF7CA763F289C7DCF6B83680871AD1A84E,4.847,10.408,7.25425,4
0132DFECF1383DCA44C83D38C366CF9548C9579C16220170F4FA5AC6CABC622761E19D2AD4CF76F4A2F32237EC15D177A1D1C5BE8A725D20746BA9ADE3669A2B,7.04,7.04,7.04,1
