COLEGIO,COLEGIO_PAIS,COLEGIO_DEPA,COLEGIO_PROV,COLEGIO_DIST
6067 JUAN VELASCO ALVARADO,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6067 JUAN VELASCO ALVARADO,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6068 MANUEL GONZALES PRADA,0,0,0,0
6069 Pachacutec,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6071 REPUBLICA FEDERAL DE ALEMANIA,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6073 JORGE BASADRE,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6081 MANUEL SCORZA TORRES,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6082 LOS PROCERES,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
6082 LOS PROCERES,PERÚ,LIMA,LIMA METROPOLITANA,SANTIAGO DE SURCO
6082 LOS PROCERES,PERÚ,LIMA,LIMA METROPOLITANA,MIRAFLORES
6084 SAN MARTIN DE PORRES,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
